id,duration,name,start_time,end_time,start_latitude,start_longitude,end_latitude,end_longitude
455,0.741912,SS-CQ-CQ1|CQ-CQ1|Chongqing|Chongqing|2019-02-21,2018-05-26 16:51:03,2019-02-21 12:00:00,29.4316,106.9123,29.4316,106.9123
456,0.495111,None,2018-05-26 16:51:13,2018-11-23 10:01:34,29.4316,106.9123,29.4316,106.9123
457,0.2605,SS-GZ-GY|GZ-GY|Guizhou|Guiyang|2019-02-26,2018-11-23 10:01:11,2019-02-26 12:00:00,29.4316,106.9123,26.843,107.2903
458,0.323513,SS-CQ-CQ2|CQ-CQ2|Chongqing|Chongqing|2019-03-21,2018-11-23 10:01:34,2019-03-21 12:00:00,29.4316,106.9123,29.4316,106.9123
459,1.055519,None,2017-01-04 20:23:56,2018-01-25 02:44:44,30.2638,102.8055,30.2638,102.8055
460,1.003796,SS-YN-KM|YN-KM|Yunnan|Kunming|2019-01-26,2018-01-25 02:44:49,2019-01-26 11:59:59,30.2638,102.8055,24.4753,101.3431
461,0.96544,SS-GX-JM|GX-JM|Guangxi|Jiangmen|2019-01-12,2018-01-25 02:44:44,2019-01-12 12:00:00,30.2638,102.8055,23.7248,108.8076
462,1.085562,MG198666|JSTZ1505|Jiangsu|Taizhou|2015-05,2014-04-14 17:28:36,2015-05-15 23:00:00,33.1402,119.7889,33.1402,119.7889
463,-0.383768,None,2010-05-10 00:32:26,2009-12-20 22:43:58,34.2904,113.3824,34.2904,113.3824
464,1.659171,None,2009-12-21 14:27:47,2011-08-19 04:48:03,34.2904,113.3824,34.2904,113.3824
465,0.531867,None,2011-08-18 14:07:51,2012-02-28 21:08:48,34.2904,113.3824,34.2904,113.3824
466,0.995396,None,2012-02-29 11:48:57,2013-02-27 15:35:01,34.2904,113.3824,34.2904,113.3824
467,4.198205,MH932662|CH-HENDF-2017|Henan|NA|2017,2013-04-19 14:43:27,2017-06-30 23:00:00,34.2904,113.3824,34.2904,113.3824
468,0.390391,None,2013-02-27 15:35:01,2013-07-20 03:24:32,34.2904,113.3824,34.2904,113.3824
469,0.336231,None,2013-10-27 02:05:42,2014-02-26 19:28:43,34.2904,113.3824,34.2904,113.3824
470,1.159298,None,2013-11-19 00:11:14,2015-01-16 03:38:15,34.2904,113.3824,34.2904,113.3824
471,1.236484,None,2015-01-17 00:16:40,2016-04-12 14:36:22,34.2904,113.3824,30.2638,102.8055
472,2.126497,MH593146|CH/SCZZ/2018|Sichuan|Zizhong|2018-05-29,2016-04-12 13:36:43,2018-05-29 11:00:00,30.2638,102.8055,30.2638,102.8055
473,0.423049,None,2016-04-12 14:36:22,2016-09-14 10:40:07,30.2638,102.8055,30.2638,102.8055
474,1.670572,MH593142|CH/SCQL517/2018|Sichuan|Qionglai|2018-05-17,2016-09-14 09:40:05,2018-05-17 11:00:00,30.2638,102.8055,30.2638,102.8055
475,0.15427,None,2016-09-14 10:40:07,2016-11-09 21:46:35,30.2638,102.8055,30.2638,102.8055
476,1.116302,MH991847|Q10-HB2017|Hubei|NA|2017-12-22,2016-11-09 21:46:42,2017-12-22 11:59:59,30.2638,102.8055,30.7378,112.2384
477,0.483066,None,2016-11-09 21:46:35,2017-05-05 08:51:01,30.2638,102.8055,30.2638,102.8055
478,1.055154,MH593145|CH/SCSH525/2018|Sichuan|Shehong|2018-05-25,2017-05-05 07:51:03,2018-05-25 10:59:59,30.2638,102.8055,30.2638,102.8055
